frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
12295.8262,-1.7423,-11.6371,-2.8903,-61.9930
12301.6842,-1.7435,-11.6375,-2.8932,-62.0257
12307.5421,-1.7446,-11.6391,-2.8961,-62.0583
12313.4000,-1.7459,-11.6395,-2.8991,-62.0911
12319.2580,-1.7472,-11.6407,-2.9019,-62.1251
12325.1159,-1.7484,-11.6409,-2.9050,-62.1575
12330.9739,-1.7497,-11.6429,-2.9076,-62.1898
12336.8318,-1.7510,-11.6433,-2.9108,-62.2236
12342.6898,-1.7522,-11.6439,-2.9137,-62.2564
12348.5477,-1.7535,-11.6454,-2.9166,-62.2887
12354.4057,-1.7546,-11.6456,-2.9194,-62.3221
12360.2636,-1.7560,-11.6462,-2.9223,-62.3554
12366.1216,-1.7572,-11.6474,-2.9254,-62.3879
12371.9795,-1.7586,-11.6483,-2.9282,-62.4212
12377.8374,-1.7597,-11.6496,-2.9312,-62.4541
12383.6954,-1.7609,-11.6489,-2.9341,-62.4873
12389.5533,-1.7622,-11.6508,-2.9371,-62.5211
12395.4113,-1.7636,-11.6513,-2.9400,-62.5539
12401.2692,-1.7648,-11.6525,-2.9429,-62.5876
12407.1272,-1.7660,-11.6525,-2.9459,-62.6200
12412.9851,-1.7673,-11.6539,-2.9490,-62.6530
12418.8431,-1.7685,-11.6541,-2.9518,-62.6869
12424.7010,-1.7698,-11.6551,-2.9548,-62.7197
12430.5589,-1.7710,-11.6557,-2.9578,-62.7524
12436.4169,-1.7724,-11.6563,-2.9606,-62.7863
12442.2748,-1.7735,-11.6567,-2.9637,-62.8181
12448.1328,-1.7748,-11.6581,-2.9667,-62.8523
12453.9907,-1.7761,-11.6594,-2.9696,-62.8853
12459.8487,-1.7774,-11.6591,-2.9724,-62.9178
12465.7066,-1.7786,-11.6601,-2.9755,-62.9512
12471.5646,-1.7798,-11.6602,-2.9783,-62.9853
12477.4225,-1.7811,-11.6617,-2.9813,-63.0168
12483.2804,-1.7823,-11.6625,-2.9844,-63.0512
12489.1384,-1.7836,-11.6632,-2.9874,-63.0845
12494.9963,-1.7849,-11.6643,-2.9903,-63.1166
12500.8543,-1.7861,-11.6649,-2.9934,-63.1510
12506.7122,-1.7874,-11.6661,-2.9963,-63.1837
12512.5702,-1.7886,-11.6672,-2.9994,-63.2168
12518.4281,-1.7900,-11.6672,-3.0023,-63.2512
12524.2861,-1.7913,-11.6672,-3.0052,-63.2838
12530.1440,-1.7925,-11.6679,-3.0083,-63.3178
12536.0020,-1.7938,-11.6691,-3.0111,-63.3508
12541.8599,-1.7951,-11.6698,-3.0143,-63.3836
12547.7178,-1.7964,-11.6702,-3.0172,-63.4174
12553.5758,-1.7975,-11.6705,-3.0202,-63.4502
12559.4337,-1.7988,-11.6705,-3.0232,-63.4841
12565.2917,-1.8000,-11.6717,-3.0262,-63.5182
12571.1496,-1.8013,-11.6726,-3.0292,-63.5504
12577.0076,-1.8024,-11.6725,-3.0324,-63.5837
12582.8655,-1.8038,-11.6732,-3.0353,-63.6181
12588.7235,-1.8049,-11.6745,-3.0381,-63.6518
12594.5814,-1.8062,-11.6758,-3.0413,-63.6848
12600.4393,-1.8076,-11.6761,-3.0443,-63.7176
12606.2973,-1.8089,-11.6766,-3.0472,-63.7511
12612.1552,-1.8101,-11.6776,-3.0502,-63.7844
12618.0132,-1.8114,-11.6780,-3.0531,-63.8180
12623.8711,-1.8127,-11.6787,-3.0564,-63.8517
12629.7291,-1.8139,-11.6786,-3.0592,-63.8845
12635.5870,-1.8152,-11.6794,-3.0623,-63.9185
12641.4450,-1.8165,-11.6790,-3.0654,-63.9518
12647.3029,-1.8178,-11.6800,-3.0683,-63.9846
12653.1608,-1.8189,-11.6808,-3.0715,-64.0187
12659.0188,-1.8203,-11.6819,-3.0744,-64.0523
12664.8767,-1.8215,-11.6823,-3.0776,-64.0872
12670.7347,-1.8229,-11.6829,-3.0805,-64.1195
12676.5926,-1.8241,-11.6827,-3.0836,-64.1534
12682.4506,-1.8253,-11.6840,-3.0866,-64.1868
12688.3085,-1.8266,-11.6846,-3.0896,-64.2207
12694.1665,-1.8279,-11.6849,-3.0928,-64.2534
12700.0244,-1.8292,-11.6854,-3.0957,-64.2873
12705.8824,-1.8304,-11.6866,-3.0988,-64.3208
12711.7403,-1.8316,-11.6874,-3.1019,-64.3538
12717.5982,-1.8330,-11.6869,-3.1050,-64.3885
12723.4562,-1.8343,-11.6874,-3.1079,-64.4217
12729.3141,-1.8355,-11.6882,-3.1111,-64.4546
12735.1721,-1.8368,-11.6882,-3.1142,-64.4896
12741.0300,-1.8381,-11.6885,-3.1172,-64.5225
12746.8880,-1.8393,-11.6903,-3.1202,-64.5571
12752.7459,-1.8406,-11.6895,-3.1232,-64.5905
12758.6039,-1.8418,-11.6909,-3.1264,-64.6238
12764.4618,-1.8432,-11.6914,-3.1295,-64.6579
12770.3197,-1.8445,-11.6919,-3.1324,-64.6911
12776.1777,-1.8456,-11.6919,-3.1355,-64.7247
12782.0356,-1.8470,-11.6923,-3.1388,-64.7584
12787.8936,-1.8483,-11.6936,-3.1416,-64.7927
12793.7515,-1.8496,-11.6934,-3.1448,-64.8259
12799.6095,-1.8507,-11.6940,-3.1478,-64.8596
12805.4674,-1.8520,-11.6945,-3.1511,-64.8941
12811.3254,-1.8533,-11.6949,-3.1540,-64.9279
12817.1833,-1.8547,-11.6958,-3.1571,-64.9609
12823.0412,-1.8559,-11.6966,-3.1601,-64.9941
12828.8992,-1.8573,-11.6961,-3.1632,-65.0283
12834.7571,-1.8584,-11.6972,-3.1663,-65.0620
12840.6151,-1.8598,-11.6964,-3.1693,-65.0963
12846.4730,-1.8611,-11.6979,-3.1724,-65.1291
12852.3310,-1.8623,-11.6972,-3.1756,-65.1639
12858.1889,-1.8636,-11.6981,-3.1788,-65.1975
12864.0469,-1.8649,-11.6984,-3.1818,-65.2310
12869.9048,-1.8663,-11.6983,-3.1849,-65.2656
12875.7628,-1.8674,-11.6991,-3.1881,-65.2997
12881.6207,-1.8687,-11.6998,-3.1911,-65.3335
12887.4786,-1.8700,-11.6998,-3.1942,-65.3669
12893.3366,-1.8712,-11.6996,-3.1972,-65.4011
12899.1945,-1.8726,-11.7011,-3.2004,-65.4337
12905.0525,-1.8739,-11.7007,-3.2036,-65.4691
12910.9104,-1.8751,-11.7021,-3.2066,-65.5022
12916.7684,-1.8764,-11.7019,-3.2098,-65.5368
12922.6263,-1.8777,-11.7013,-3.2128,-65.5707
12928.4843,-1.8789,-11.7027,-3.2160,-65.6035
12934.3422,-1.8803,-11.7029,-3.2190,-65.6396
12940.2001,-1.8815,-11.7027,-3.2222,-65.6726
12946.0581,-1.8828,-11.7025,-3.2254,-65.7064
12951.9160,-1.8841,-11.7034,-3.2286,-65.7416
12957.7740,-1.8853,-11.7041,-3.2316,-65.7747
12963.6319,-1.8867,-11.7046,-3.2349,-65.8074
12969.4899,-1.8878,-11.7048,-3.2380,-65.8435
12975.3478,-1.8892,-11.7050,-3.2410,-65.8773
12981.2058,-1.8904,-11.7049,-3.2443,-65.9106
12987.0637,-1.8918,-11.7048,-3.2474,-65.9451
12992.9216,-1.8930,-11.7061,-3.2505,-65.9790
12998.7796,-1.8944,-11.7057,-3.2537,-66.0132
13004.6375,-1.8957,-11.7069,-3.2568,-66.0477
13010.4955,-1.8969,-11.7060,-3.2599,-66.0814
13016.3534,-1.8983,-11.7068,-3.2631,-66.1160
13022.2114,-1.8993,-11.7069,-3.2663,-66.1497
13028.0693,-1.9007,-11.7069,-3.2694,-66.1846
13033.9273,-1.9021,-11.7074,-3.2726,-66.2176
13039.7852,-1.9034,-11.7079,-3.2757,-66.2527
13045.6432,-1.9046,-11.7082,-3.2789,-66.2862
13051.5011,-1.9060,-11.7088,-3.2819,-66.3197
13057.3590,-1.9072,-11.7082,-3.2853,-66.3547
13063.2170,-1.9085,-11.7090,-3.2885,-66.3890
13069.0749,-1.9097,-11.7088,-3.2916,-66.4244
13074.9329,-1.9111,-11.7086,-3.2948,-66.4572
13080.7908,-1.9123,-11.7103,-3.2980,-66.4928
13086.6488,-1.9137,-11.7090,-3.3010,-66.5264
13092.5067,-1.9149,-11.7093,-3.3043,-66.5603
13098.3647,-1.9164,-11.7101,-3.3076,-66.5943
13104.2226,-1.9175,-11.7104,-3.3107,-66.6295
13110.0805,-1.9189,-11.7103,-3.3138,-66.6635
13115.9385,-1.9203,-11.7105,-3.3171,-66.6970
13121.7964,-1.9213,-11.7100,-3.3203,-66.7310
13127.6544,-1.9227,-11.7101,-3.3234,-66.7668
13133.5123,-1.9240,-11.7102,-3.3264,-66.8011
13139.3703,-1.9253,-11.7107,-3.3296,-66.8341
13145.2282,-1.9265,-11.7101,-3.3329,-66.8693
13151.0862,-1.9278,-11.7107,-3.3360,-66.9034
13156.9441,-1.9292,-11.7109,-3.3394,-66.9374
13162.8021,-1.9304,-11.7114,-3.3424,-66.9724
13168.6600,-1.9317,-11.7115,-3.3457,-67.0069
13174.5179,-1.9330,-11.7115,-3.3492,-67.0413
13180.3759,-1.9344,-11.7111,-3.3522,-67.0761
13186.2338,-1.9357,-11.7112,-3.3554,-67.1103
13192.0918,-1.9368,-11.7110,-3.3589,-67.1444
13197.9497,-1.9381,-11.7124,-3.3619,-67.1793
13203.8077,-1.9395,-11.7118,-3.3652,-67.2134
13209.6656,-1.9407,-11.7119,-3.3684,-67.2478
13215.5236,-1.9421,-11.7108,-3.3716,-67.2826
13221.3815,-1.9434,-11.7121,-3.3746,-67.3172
13227.2394,-1.9447,-11.7124,-3.3780,-67.3517
13233.0974,-1.9460,-11.7117,-3.3811,-67.3862
13238.9553,-1.9472,-11.7124,-3.3844,-67.4206
13244.8133,-1.9485,-11.7123,-3.3876,-67.4557
13250.6712,-1.9498,-11.7123,-3.3909,-67.4893
13256.5292,-1.9512,-11.7121,-3.3942,-67.5233
13262.3871,-1.9525,-11.7119,-3.3974,-67.5583
13268.2451,-1.9537,-11.7127,-3.4007,-67.5937
13274.1030,-1.9551,-11.7120,-3.4039,-67.6275
13279.9609,-1.9563,-11.7128,-3.4069,-67.6624
13285.8189,-1.9576,-11.7120,-3.4101,-67.6968
13291.6768,-1.9590,-11.7120,-3.4136,-67.7316
13297.5348,-1.9602,-11.7121,-3.4168,-67.7667
13303.3927,-1.9616,-11.7125,-3.4201,-67.8012
13309.2507,-1.9628,-11.7123,-3.4232,-67.8362
13315.1086,-1.9641,-11.7119,-3.4265,-67.8706
13320.9666,-1.9654,-11.7122,-3.4299,-67.9051
13326.8245,-1.9667,-11.7119,-3.4331,-67.9395
13332.6825,-1.9681,-11.7121,-3.4364,-67.9745
13338.5404,-1.9693,-11.7123,-3.4396,-68.0090
13344.3983,-1.9707,-11.7117,-3.4430,-68.0439
13350.2563,-1.9720,-11.7115,-3.4461,-68.0789
13356.1142,-1.9733,-11.7116,-3.4492,-68.1140
13361.9722,-1.9745,-11.7123,-3.4529,-68.1478
13367.8301,-1.9758,-11.7116,-3.4558,-68.1830
13373.6881,-1.9772,-11.7120,-3.4594,-68.2180
13379.5460,-1.9785,-11.7112,-3.4627,-68.2531
13385.4040,-1.9797,-11.7109,-3.4659,-68.2877
13391.2619,-1.9811,-11.7112,-3.4692,-68.3211
13397.1198,-1.9824,-11.7107,-3.4726,-68.3573
13402.9778,-1.9838,-11.7116,-3.4758,-68.3919
13408.8357,-1.9850,-11.7103,-3.4790,-68.4270
13414.6937,-1.9863,-11.7108,-3.4823,-68.4613
13420.5516,-1.9875,-11.7106,-3.4857,-68.4957
13426.4096,-1.9890,-11.7112,-3.4891,-68.5319
13432.2675,-1.9902,-11.7104,-3.4922,-68.5666
13438.1255,-1.9915,-11.7094,-3.4954,-68.6011
13443.9834,-1.9928,-11.7105,-3.4989,-68.6367
13449.8413,-1.9942,-11.7104,-3.5021,-68.6713
13455.6993,-1.9954,-11.7104,-3.5055,-68.7076
13461.5572,-1.9968,-11.7102,-3.5086,-68.7415
13467.4152,-1.9980,-11.7093,-3.5121,-68.7760
13473.2731,-1.9993,-11.7087,-3.5154,-68.8104
13479.1311,-2.0006,-11.7085,-3.5187,-68.8466
13484.9890,-2.0018,-11.7081,-3.5219,-68.8811
13490.8470,-2.0033,-11.7091,-3.5254,-68.9163
13496.7049,-2.0045,-11.7087,-3.5287,-68.9511
13502.5629,-2.0059,-11.7074,-3.5319,-68.9864
13508.4208,-2.0071,-11.7081,-3.5353,-69.0208
13514.2787,-2.0085,-11.7076,-3.5386,-69.0558
13520.1367,-2.0099,-11.7074,-3.5420,-69.0915
13525.9946,-2.0110,-11.7075,-3.5452,-69.1259
13531.8526,-2.0124,-11.7067,-3.5487,-69.1621
13537.7105,-2.0137,-11.7064,-3.5521,-69.1976
13543.5685,-2.0150,-11.7063,-3.5553,-69.2323
13549.4264,-2.0164,-11.7057,-3.5586,-69.2669
13555.2844,-2.0176,-11.7066,-3.5621,-69.3010
13561.1423,-2.0189,-11.7057,-3.5654,-69.3375
13567.0002,-2.0204,-11.7051,-3.5686,-69.3724
13572.8582,-2.0215,-11.7049,-3.5722,-69.4069
13578.7161,-2.0229,-11.7051,-3.5754,-69.4437
13584.5741,-2.0243,-11.7044,-3.5788,-69.4774
13590.4320,-2.0255,-11.7042,-3.5821,-69.5130
13596.2900,-2.0269,-11.7048,-3.5854,-69.5487
13602.1479,-2.0281,-11.7035,-3.5888,-69.5836
13608.0059,-2.0295,-11.7026,-3.5922,-69.6187
13613.8638,-2.0307,-11.7027,-3.5954,-69.6542
13619.7217,-2.0320,-11.7032,-3.5989,-69.6898
13625.5797,-2.0333,-11.7019,-3.6022,-69.7244
13631.4376,-2.0347,-11.7018,-3.6057,-69.7596
13637.2956,-2.0360,-11.7012,-3.6091,-69.7941
13643.1535,-2.0372,-11.7005,-3.6123,-69.8307
13649.0115,-2.0387,-11.7010,-3.6158,-69.8665
13654.8694,-2.0399,-11.7002,-3.6192,-69.9009
13660.7274,-2.0413,-11.7004,-3.6226,-69.9357
13666.5853,-2.0426,-11.6999,-3.6261,-69.9724
13672.4433,-2.0439,-11.6989,-3.6295,-70.0071
13678.3012,-2.0453,-11.6996,-3.6327,-70.0432
13684.1591,-2.0466,-11.6985,-3.6362,-70.0776
13690.0171,-2.0479,-11.6980,-3.6396,-70.1135
13695.8750,-2.0492,-11.6974,-3.6429,-70.1491
13701.7330,-2.0505,-11.6964,-3.6463,-70.1842
13707.5909,-2.0518,-11.6969,-3.6499,-70.2195
13713.4489,-2.0530,-11.6956,-3.6530,-70.2561
13719.3068,-2.0544,-11.6965,-3.6565,-70.2897
13725.1648,-2.0556,-11.6959,-3.6601,-70.3263
13731.0227,-2.0570,-11.6944,-3.6633,-70.3616
13736.8806,-2.0583,-11.6950,-3.6669,-70.3970
13742.7386,-2.0597,-11.6955,-3.6702,-70.4320
13748.5965,-2.0610,-11.6948,-3.6736,-70.4681
13754.4545,-2.0625,-11.6933,-3.6771,-70.5042
13760.3124,-2.0637,-11.6930,-3.6804,-70.5391
13766.1704,-2.0650,-11.6924,-3.6840,-70.5761
13772.0283,-2.0662,-11.6918,-3.6872,-70.6116
13777.8863,-2.0676,-11.6914,-3.6907,-70.6456
13783.7442,-2.0689,-11.6916,-3.6942,-70.6817
13789.6021,-2.0701,-11.6899,-3.6975,-70.7179
13795.4601,-2.0715,-11.6901,-3.7010,-70.7527
13801.3180,-2.0729,-11.6898,-3.7045,-70.7890
13807.1760,-2.0743,-11.6895,-3.7079,-70.8243
13813.0339,-2.0758,-11.6888,-3.7114,-70.8595
13818.8919,-2.0769,-11.6877,-3.7148,-70.8965
13824.7498,-2.0782,-11.6877,-3.7183,-70.9317
13830.6078,-2.0795,-11.6861,-3.7217,-70.9678
13836.4657,-2.0807,-11.6864,-3.7251,-71.0033
13842.3237,-2.0821,-11.6852,-3.7285,-71.0384
13848.1816,-2.0834,-11.6849,-3.7322,-71.0744
13854.0395,-2.0847,-11.6851,-3.7355,-71.1106
13859.8975,-2.0860,-11.6832,-3.7390,-71.1457
13865.7554,-2.0873,-11.6839,-3.7425,-71.1809
13871.6134,-2.0888,-11.6824,-3.7459,-71.2167
13877.4713,-2.0899,-11.6824,-3.7493,-71.2536
13883.3293,-2.0913,-11.6817,-3.7528,-71.2897
13889.1872,-2.0928,-11.6811,-3.7563,-71.3249
13895.0452,-2.0940,-11.6805,-3.7598,-71.3607
13900.9031,-2.0953,-11.6805,-3.7633,-71.3967
13906.7610,-2.0966,-11.6789,-3.7667,-71.4323
13912.6190,-2.0981,-11.6787,-3.7701,-71.4689
13918.4769,-2.0992,-11.6780,-3.7736,-71.5040
13924.3349,-2.1005,-11.6784,-3.7772,-71.5393
13930.1928,-2.1019,-11.6773,-3.7806,-71.5765
13936.0508,-2.1033,-11.6758,-3.7841,-71.6114
13941.9087,-2.1047,-11.6759,-3.7877,-71.6480
13947.7667,-2.1060,-11.6739,-3.7912,-71.6833
13953.6246,-2.1072,-11.6744,-3.7946,-71.7197
13959.4825,-2.1087,-11.6729,-3.7980,-71.7560
13965.3405,-2.1101,-11.6727,-3.8017,-71.7922
13971.1984,-2.1111,-11.6718,-3.8052,-71.8274
13977.0564,-2.1125,-11.6708,-3.8086,-71.8639
13982.9143,-2.1139,-11.6710,-3.8122,-71.8997
13988.7723,-2.1152,-11.6697,-3.8156,-71.9360
13994.6302,-2.1165,-11.6690,-3.8191,-71.9723
14000.4882,-2.1179,-11.6679,-3.8227,-72.0085
14006.3461,-2.1192,-11.6685,-3.8262,-72.0441
14012.2041,-2.1205,-11.6666,-3.8296,-72.0807
14018.0620,-2.1218,-11.6665,-3.8331,-72.1167
14023.9199,-2.1232,-11.6659,-3.8368,-72.1521
14029.7779,-2.1245,-11.6649,-3.8403,-72.1885
14035.6358,-2.1259,-11.6642,-3.8437,-72.2257
14041.4938,-2.1271,-11.6631,-3.8473,-72.2618
14047.3517,-2.1284,-11.6622,-3.8507,-72.2969
14053.2097,-2.1299,-11.6619,-3.8543,-72.3332
14059.0676,-2.1312,-11.6603,-3.8579,-72.3701
14064.9256,-2.1324,-11.6600,-3.8615,-72.4053
14070.7835,-2.1338,-11.6598,-3.8651,-72.4421
14076.6414,-2.1352,-11.6589,-3.8685,-72.4779
14082.4994,-2.1363,-11.6579,-3.8721,-72.5150
14088.3573,-2.1378,-11.6564,-3.8757,-72.5502
14094.2153,-2.1390,-11.6565,-3.8790,-72.5872
14100.0732,-2.1405,-11.6550,-3.8828,-72.6221
14105.9312,-2.1418,-11.6540,-3.8862,-72.6597
14111.7891,-2.1431,-11.6531,-3.8898,-72.6963
14117.6471,-2.1444,-11.6520,-3.8934,-72.7318
14123.5050,-2.1457,-11.6519,-3.8969,-72.7687
14129.3629,-2.1471,-11.6514,-3.9005,-72.8046
14135.2209,-2.1484,-11.6494,-3.9040,-72.8408
14141.0788,-2.1498,-11.6493,-3.9076,-72.8775
14146.9368,-2.1511,-11.6478,-3.9111,-72.9134
14152.7947,-2.1524,-11.6476,-3.9147,-72.9505
14158.6527,-2.1537,-11.6468,-3.9184,-72.9868
14164.5106,-2.1550,-11.6458,-3.9218,-73.0228
14170.3686,-2.1565,-11.6450,-3.9255,-73.0596
14176.2265,-2.1577,-11.6441,-3.9291,-73.0954
14182.0845,-2.1591,-11.6432,-3.9327,-73.1326
14187.9424,-2.1604,-11.6422,-3.9363,-73.1693
14193.8003,-2.1618,-11.6411,-3.9397,-73.2057
14199.6583,-2.1631,-11.6402,-3.9435,-73.2416
14205.5162,-2.1643,-11.6388,-3.9469,-73.2789
14211.3742,-2.1657,-11.6385,-3.9505,-73.3150
14217.2321,-2.1671,-11.6375,-3.9542,-73.3508
14223.0901,-2.1684,-11.6361,-3.9578,-73.3879
14228.9480,-2.1699,-11.6354,-3.9615,-73.4251
14234.8060,-2.1712,-11.6342,-3.9650,-73.4616
14240.6639,-2.1724,-11.6331,-3.9687,-73.4977
14246.5218,-2.1738,-11.6326,-3.9723,-73.5340
14252.3798,-2.1751,-11.6313,-3.9760,-73.5712
14258.2377,-2.1765,-11.6309,-3.9796,-73.6074
14264.0957,-2.1778,-11.6293,-3.9830,-73.6443
14269.9536,-2.1791,-11.6281,-3.9867,-73.6818
14275.8116,-2.1805,-11.6276,-3.9903,-73.7183
14281.6695,-2.1818,-11.6265,-3.9941,-73.7548
14287.5275,-2.1832,-11.6246,-3.9975,-73.7916
14293.3854,-2.1844,-11.6239,-4.0012,-73.8282
14299.2433,-2.1858,-11.6238,-4.0047,-73.8651
14305.1013,-2.1872,-11.6222,-4.0084,-73.9017
14310.9592,-2.1884,-11.6214,-4.0120,-73.9381
14316.8172,-2.1898,-11.6198,-4.0157,-73.9750
14322.6751,-2.1911,-11.6193,-4.0194,-74.0114
14328.5331,-2.1926,-11.6177,-4.0229,-74.0485
14334.3910,-2.1940,-11.6168,-4.0266,-74.0856
14340.2490,-2.1953,-11.6161,-4.0303,-74.1232
14346.1069,-2.1966,-11.6139,-4.0339,-74.1588
14351.9649,-2.1978,-11.6135,-4.0377,-74.1966
14357.8228,-2.1992,-11.6122,-4.0413,-74.2333
14363.6807,-2.2005,-11.6117,-4.0449,-74.2707
14369.5387,-2.2018,-11.6100,-4.0485,-74.3069
14375.3966,-2.2032,-11.6095,-4.0523,-74.3434
14381.2546,-2.2045,-11.6082,-4.0559,-74.3794
14387.1125,-2.2059,-11.6063,-4.0595,-74.4178
14392.9705,-2.2072,-11.6056,-4.0631,-74.4537
14398.8284,-2.2086,-11.6031,-4.0668,-74.4912
14404.6864,-2.2098,-11.6031,-4.0706,-74.5285
14410.5443,-2.2114,-11.6021,-4.0741,-74.5653
14416.4022,-2.2125,-11.6013,-4.0779,-74.6019
14422.2602,-2.2139,-11.5998,-4.0816,-74.6391
14428.1181,-2.2151,-11.5984,-4.0853,-74.6769
14433.9761,-2.2166,-11.5973,-4.0888,-74.7135
14439.8340,-2.2178,-11.5971,-4.0926,-74.7503
14445.6920,-2.2194,-11.5947,-4.0962,-74.7873
14451.5499,-2.2206,-11.5940,-4.1001,-74.8239
14457.4079,-2.2220,-11.5927,-4.1036,-74.8614
14463.2658,-2.2232,-11.5914,-4.1073,-74.8998
14469.1237,-2.2247,-11.5901,-4.1111,-74.9365
14474.9817,-2.2259,-11.5892,-4.1147,-74.9728
14480.8396,-2.2273,-11.5874,-4.1184,-75.0104
14486.6976,-2.2286,-11.5865,-4.1221,-75.0476
14492.5555,-2.2299,-11.5854,-4.1258,-75.0853
14498.4135,-2.2314,-11.5842,-4.1296,-75.1230
14504.2714,-2.2328,-11.5823,-4.1331,-75.1594
14510.1294,-2.2340,-11.5811,-4.1369,-75.1967
14515.9873,-2.2355,-11.5804,-4.1407,-75.2336
14521.8453,-2.2368,-11.5787,-4.1444,-75.2710
14527.7032,-2.2380,-11.5772,-4.1482,-75.3080
14533.5611,-2.2394,-11.5763,-4.1518,-75.3452
14539.4191,-2.2409,-11.5747,-4.1555,-75.3826
14545.2770,-2.2422,-11.5740,-4.1593,-75.4198
14551.1350,-2.2434,-11.5722,-4.1629,-75.4568
14556.9929,-2.2448,-11.5712,-4.1667,-75.4951
14562.8509,-2.2462,-11.5694,-4.1705,-75.5317
14568.7088,-2.2475,-11.5684,-4.1742,-75.5695
14574.5668,-2.2488,-11.5663,-4.1778,-75.6068
14580.4247,-2.2502,-11.5654,-4.1818,-75.6452
14586.2826,-2.2515,-11.5642,-4.1854,-75.6818
14592.1406,-2.2528,-11.5618,-4.1891,-75.7189
14597.9985,-2.2542,-11.5613,-4.1929,-75.7577
14603.8565,-2.2555,-11.5598,-4.1967,-75.7948
14609.7144,-2.2570,-11.5586,-4.2004,-75.8316
14615.5724,-2.2583,-11.5571,-4.2041,-75.8688
14621.4303,-2.2595,-11.5555,-4.2080,-75.9070
14627.2883,-2.2610,-11.5547,-4.2117,-75.9445
14633.1462,-2.2622,-11.5527,-4.2156,-75.9813
14639.0041,-2.2637,-11.5517,-4.2193,-76.0194
14644.8621,-2.2649,-11.5499,-4.2230,-76.0574
14650.7200,-2.2663,-11.5487,-4.2268,-76.0934
14656.5780,-2.2676,-11.5472,-4.2307,-76.1317
14662.4359,-2.2690,-11.5457,-4.2342,-76.1702
14668.2939,-2.2704,-11.5445,-4.2381,-76.2074
14674.1518,-2.2717,-11.5423,-4.2419,-76.2444
14680.0098,-2.2730,-11.5411,-4.2458,-76.2821
14685.8677,-2.2744,-11.5402,-4.2494,-76.3199
14691.7257,-2.2757,-11.5385,-4.2531,-76.3572
14697.5836,-2.2771,-11.5363,-4.2570,-76.3953
14703.4415,-2.2784,-11.5350,-4.2608,-76.4333
14709.2995,-2.2798,-11.5335,-4.2646,-76.4714
14715.1574,-2.2810,-11.5315,-4.2683,-76.5085
14721.0154,-2.2825,-11.5307,-4.2722,-76.5468
14726.8733,-2.2838,-11.5292,-4.2760,-76.5842
14732.7313,-2.2852,-11.5272,-4.2798,-76.6224
14738.5892,-2.2865,-11.5254,-4.2834,-76.6595
14744.4472,-2.2878,-11.5247,-4.2873,-76.6969
14750.3051,-2.2893,-11.5230,-4.2913,-76.7352
14756.1630,-2.2905,-11.5220,-4.2950,-76.7735
14762.0210,-2.2918,-11.5203,-4.2989,-76.8105
14767.8789,-2.2932,-11.5176,-4.3025,-76.8477
14773.7369,-2.2946,-11.5171,-4.3065,-76.8872
14779.5948,-2.2960,-11.5151,-4.3102,-76.9239
14785.4528,-2.2972,-11.5136,-4.3141,-76.9628
14791.3107,-2.2987,-11.5124,-4.3178,-77.0007
14797.1687,-2.3000,-11.5101,-4.3218,-77.0380
14803.0266,-2.3014,-11.5080,-4.3257,-77.0771
14808.8845,-2.3027,-11.5069,-4.3293,-77.1159
14814.7425,-2.3039,-11.5055,-4.3332,-77.1531
14820.6004,-2.3054,-11.5044,-4.3371,-77.1907
14826.4584,-2.3067,-11.5023,-4.3409,-77.2291
14832.3163,-2.3081,-11.5006,-4.3447,-77.2673
14838.1743,-2.3095,-11.4982,-4.3485,-77.3047
14844.0322,-2.3108,-11.4974,-4.3524,-77.3432
14849.8902,-2.3121,-11.4955,-4.3563,-77.3811
14855.7481,-2.3135,-11.4942,-4.3600,-77.4179
14861.6061,-2.3149,-11.4917,-4.3641,-77.4559
14867.4640,-2.3161,-11.4908,-4.3682,-77.4948
14873.3219,-2.3176,-11.4890,-4.3716,-77.5341
14879.1799,-2.3189,-11.4868,-4.3755,-77.5705
14885.0378,-2.3203,-11.4853,-4.3793,-77.6099
14890.8958,-2.3217,-11.4842,-4.3833,-77.6484
14896.7537,-2.3229,-11.4819,-4.3872,-77.6861
14902.6117,-2.3244,-11.4803,-4.3910,-77.7245
14908.4696,-2.3258,-11.4785,-4.3948,-77.7617
14914.3276,-2.3270,-11.4765,-4.3988,-77.8010
14920.1855,-2.3285,-11.4740,-4.4026,-77.8400
14926.0434,-2.3297,-11.4736,-4.4064,-77.8782
14931.9014,-2.3310,-11.4718,-4.4104,-77.9160
14937.7593,-2.3324,-11.4697,-4.4143,-77.9535
14943.6173,-2.3339,-11.4677,-4.4183,-77.9922
14949.4752,-2.3353,-11.4661,-4.4221,-78.0315
14955.3332,-2.3365,-11.4643,-4.4261,-78.0694
14961.1911,-2.3378,-11.4624,-4.4298,-78.1079
14967.0491,-2.3392,-11.4613,-4.4339,-78.1454
14972.9070,-2.3406,-11.4588,-4.4377,-78.1833
14978.7649,-2.3419,-11.4566,-4.4416,-78.2227
14984.6229,-2.3433,-11.4555,-4.4455,-78.2608
14990.4808,-2.3446,-11.4534,-4.4494,-78.3007
14996.3388,-2.3458,-11.4510,-4.4533,-78.3381
15002.1967,-2.3473,-11.4496,-4.4572,-78.3760
15008.0547,-2.3486,-11.4479,-4.4613,-78.4149
15013.9126,-2.3500,-11.4458,-4.4650,-78.4527
