frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
931.4132,-0.0145,-1.8550,0.1880,-5.0649
937.2712,-0.0145,-1.8638,0.1878,-5.0938
943.1291,-0.0146,-1.8706,0.1877,-5.1219
948.9871,-0.0148,-1.8792,0.1874,-5.1507
954.8450,-0.0147,-1.8860,0.1873,-5.1790
960.7030,-0.0150,-1.8935,0.1873,-5.2081
966.5609,-0.0150,-1.9013,0.1870,-5.2365
972.4188,-0.0151,-1.9090,0.1869,-5.2649
978.2768,-0.0154,-1.9171,0.1868,-5.2938
984.1347,-0.0153,-1.9245,0.1866,-5.3222
989.9927,-0.0154,-1.9311,0.1863,-5.3509
995.8506,-0.0155,-1.9394,0.1862,-5.3802
1001.7086,-0.0156,-1.9470,0.1859,-5.4080
1007.5665,-0.0156,-1.9544,0.1858,-5.4369
1013.4245,-0.0159,-1.9623,0.1857,-5.4653
1019.2824,-0.0159,-1.9703,0.1854,-5.4939
1025.1403,-0.0160,-1.9772,0.1851,-5.5221
1030.9983,-0.0162,-1.9855,0.1850,-5.5513
1036.8562,-0.0163,-1.9935,0.1848,-5.5794
1042.7142,-0.0165,-2.0001,0.1844,-5.6081
1048.5721,-0.0165,-2.0084,0.1843,-5.6365
1054.4301,-0.0167,-2.0159,0.1841,-5.6659
1060.2880,-0.0168,-2.0234,0.1839,-5.6941
1066.1460,-0.0169,-2.0308,0.1837,-5.7226
1072.0039,-0.0170,-2.0387,0.1835,-5.7505
1077.8619,-0.0173,-2.0457,0.1832,-5.7792
1083.7198,-0.0174,-2.0537,0.1830,-5.8087
1089.5777,-0.0175,-2.0613,0.1828,-5.8369
1095.4357,-0.0176,-2.0696,0.1824,-5.8655
1101.2936,-0.0178,-2.0776,0.1821,-5.8942
1107.1516,-0.0181,-2.0846,0.1820,-5.9226
1113.0095,-0.0182,-2.0914,0.1817,-5.9508
1118.8675,-0.0183,-2.1003,0.1816,-5.9800
1124.7254,-0.0184,-2.1075,0.1814,-6.0080
1130.5834,-0.0186,-2.1156,0.1810,-6.0380
1136.4413,-0.0187,-2.1229,0.1808,-6.0659
1142.2992,-0.0189,-2.1312,0.1805,-6.0943
1148.1572,-0.0191,-2.1387,0.1802,-6.1235
1154.0151,-0.0193,-2.1464,0.1799,-6.1514
1159.8731,-0.0194,-2.1541,0.1798,-6.1806
1165.7310,-0.0195,-2.1624,0.1794,-6.2093
1171.5890,-0.0198,-2.1708,0.1791,-6.2370
1177.4469,-0.0200,-2.1775,0.1788,-6.2660
1183.3049,-0.0201,-2.1849,0.1786,-6.2946
1189.1628,-0.0204,-2.1933,0.1783,-6.3243
1195.0207,-0.0205,-2.2011,0.1779,-6.3515
1200.8787,-0.0207,-2.2084,0.1776,-6.3803
1206.7366,-0.0209,-2.2162,0.1775,-6.4089
1212.5946,-0.0212,-2.2233,0.1771,-6.4378
1218.4525,-0.0213,-2.2314,0.1768,-6.4660
1224.3105,-0.0214,-2.2393,0.1765,-6.4955
1230.1684,-0.0218,-2.2472,0.1762,-6.5240
1236.0264,-0.0219,-2.2559,0.1760,-6.5532
1241.8843,-0.0220,-2.2627,0.1757,-6.5814
1247.7423,-0.0223,-2.2708,0.1754,-6.6101
1253.6002,-0.0225,-2.2790,0.1750,-6.6388
1259.4581,-0.0227,-2.2857,0.1748,-6.6675
1265.3161,-0.0228,-2.2943,0.1744,-6.6965
1271.1740,-0.0231,-2.3019,0.1740,-6.7245
1277.0320,-0.0234,-2.3098,0.1738,-6.7527
