frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
943.1291,0.1572,-12.5754,0.1572,-12.5754
948.9871,0.1570,-12.6493,0.1570,-12.6493
954.8450,0.1569,-12.7232,0.1569,-12.7232
960.7030,0.1567,-12.7972,0.1567,-12.7972
966.5609,0.1565,-12.8711,0.1565,-12.8711
972.4188,0.1563,-12.9451,0.1563,-12.9451
978.2768,0.1561,-13.0191,0.1561,-13.0191
984.1347,0.1559,-13.0931,0.1559,-13.0931
989.9927,0.1557,-13.1670,0.1557,-13.1670
995.8506,0.1555,-13.2410,0.1555,-13.2410
1001.7086,0.1553,-13.3150,0.1553,-13.3150
1007.5665,0.1551,-13.3891,0.1551,-13.3891
1013.4245,0.1549,-13.4631,0.1549,-13.4631
1019.2824,0.1546,-13.5371,0.1546,-13.5371
1025.1403,0.1544,-13.6111,0.1544,-13.6111
1030.9983,0.1542,-13.6852,0.1542,-13.6852
1036.8562,0.1540,-13.7592,0.1540,-13.7592
1042.7142,0.1538,-13.8333,0.1538,-13.8333
1048.5721,0.1535,-13.9074,0.1535,-13.9074
1054.4301,0.1533,-13.9815,0.1533,-13.9815
1060.2880,0.1531,-14.0555,0.1531,-14.0555
1066.1460,0.1528,-14.1296,0.1528,-14.1296
1072.0039,0.1526,-14.2038,0.1526,-14.2038
1077.8619,0.1524,-14.2779,0.1524,-14.2779
1083.7198,0.1521,-14.3520,0.1521,-14.3520
1089.5777,0.1519,-14.4261,0.1519,-14.4261
1095.4357,0.1516,-14.5003,0.1516,-14.5003
1101.2936,0.1514,-14.5744,0.1514,-14.5744
1107.1516,0.1511,-14.6486,0.1511,-14.6486
1113.0095,0.1509,-14.7228,0.1509,-14.7228
1118.8675,0.1506,-14.7969,0.1506,-14.7969
1124.7254,0.1504,-14.8711,0.1504,-14.8711
1130.5834,0.1501,-14.9453,0.1501,-14.9453
1136.4413,0.1498,-15.0195,0.1498,-15.0195
1142.2992,0.1496,-15.0937,0.1496,-15.0937
1148.1572,0.1493,-15.1680,0.1493,-15.1680
1154.0151,0.1490,-15.2422,0.1490,-15.2422
1159.8731,0.1488,-15.3164,0.1488,-15.3164
1165.7310,0.1485,-15.3907,0.1485,-15.3907
1171.5890,0.1482,-15.4650,0.1482,-15.4650
